-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%       1.876ms         0.03%      23.136ms     171.381us       0.000us         0.00%       15.883s     117.653ms           135  
                ScaledDotProductFlashAttentionBackward0         0.01%       4.724ms         0.03%      21.260ms     157.484us       0.000us         0.00%       15.883s     117.653ms           135  
     aten::_scaled_dot_product_flash_attention_backward         0.00%       2.030ms         0.02%      16.537ms     122.493us       0.000us         0.00%       15.883s     117.653ms           135  
                        aten::_flash_attention_backward         0.00%       2.508ms         0.02%      13.062ms      96.756us       15.845s        25.10%       15.883s     117.653ms           135  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us       15.788s        25.01%       15.788s     116.950ms           135  
                     aten::scaled_dot_product_attention         0.01%       9.277ms         0.60%     409.099ms     705.342us       0.000us         0.00%       12.076s      20.820ms           580  
              aten::_scaled_dot_product_flash_attention         0.39%     266.919ms         0.43%     291.833ms     729.583us       0.000us         0.00%       12.025s      30.063ms           400  
                         aten::_flash_attention_forward         0.01%       5.995ms         0.03%      20.059ms      50.147us       12.025s        19.05%       12.025s      30.063ms           400  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us       12.025s        19.05%       12.025s      30.063ms           400  
      autograd::engine::evaluate_function: MulBackward0         0.06%      42.639ms        45.58%       31.176s       9.490ms       0.000us         0.00%       11.634s       3.542ms          3285  
                                           MulBackward0         0.38%     263.017ms        43.63%       29.838s       9.083ms       0.000us         0.00%       11.442s       3.483ms          3285  
autograd::engine::evaluate_function: CompiledFunctio...         0.00%     947.179us         0.03%      22.072ms     367.859us       0.000us         0.00%        7.593s     126.542ms            60  
                               CompiledFunctionBackward         0.02%      13.174ms         0.03%      21.124ms     352.073us       0.000us         0.00%        7.593s     126.542ms            60  
                               triton_tem_fused_zeros_1         0.00%       1.413ms         0.00%       1.965ms      32.754us        7.573s        12.00%        7.573s     126.209ms            60  
                               triton_tem_fused_zeros_1         0.00%       0.000us         0.00%       0.000us       0.000us        7.573s        12.00%        7.573s     126.209ms            60  
                                     record_param_comms         0.01%       9.154ms         0.02%      12.719ms      48.547us        5.415s         8.58%        5.415s      20.669ms           262  
                                       c10d::allreduce_         0.00%       3.143ms         0.02%      14.848ms     116.003us       0.000us         0.00%        5.408s      42.250ms           128  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        5.408s         8.57%        5.408s      42.250ms           128  
