-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     record_param_comms         0.02%       8.481ms         0.02%      12.367ms      47.203us       34.221s        60.27%       34.221s     130.613ms           262  
                                       c10d::allreduce_         0.01%       3.047ms         0.03%      14.496ms     113.253us       0.000us         0.00%       34.213s     267.291ms           128  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       34.213s        60.26%       34.213s     267.291ms           128  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       28.994s        51.07%       28.994s     241.618ms           120  
autograd::engine::evaluate_function: torch::autograd...         0.04%      22.244ms         0.81%     421.664ms     113.350us       0.000us         0.00%       28.297s       7.607ms          3720  
                        torch::autograd::AccumulateGrad         0.43%     221.307ms         0.77%     399.419ms     107.371us       0.000us         0.00%       28.297s       7.607ms          3720  
ncclDevKernel_AllReduce_Sum_u32_RING_LL(ncclDevKerne...         0.00%       0.000us         0.00%       0.000us       0.000us        5.219s         9.19%        5.219s        1.044s             5  
      autograd::engine::evaluate_function: MulBackward0         0.07%      37.557ms        38.60%       20.008s       6.091ms       0.000us         0.00%        4.638s       1.412ms          3285  
                                           MulBackward0         0.48%     247.510ms        36.45%       18.893s       5.751ms       0.000us         0.00%        4.530s       1.379ms          3285  
autograd::engine::evaluate_function: ScaledDotProduc...         0.00%       1.774ms         0.04%      22.893ms     169.577us       0.000us         0.00%        4.286s      31.748ms           135  
                ScaledDotProductFlashAttentionBackward0         0.01%       4.375ms         0.04%      21.119ms     156.438us       0.000us         0.00%        4.286s      31.748ms           135  
     aten::_scaled_dot_product_flash_attention_backward         0.00%       1.874ms         0.03%      16.744ms     124.033us       0.000us         0.00%        4.286s      31.748ms           135  
                        aten::_flash_attention_backward         0.00%       2.546ms         0.03%      13.456ms      99.674us        4.267s         7.52%        4.286s      31.748ms           135  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us        4.241s         7.47%        4.241s      31.412ms           135  
autograd::engine::evaluate_function: CompiledFunctio...         0.00%     907.171us         0.04%      22.342ms     372.374us       0.000us         0.00%        3.641s      60.681ms            60  
                               CompiledFunctionBackward         0.03%      13.015ms         0.04%      21.435ms     357.255us       0.000us         0.00%        3.641s      60.681ms            60  
                               triton_tem_fused_zeros_1         0.00%       1.493ms         0.00%       2.085ms      34.752us        3.631s         6.40%        3.631s      60.518ms            60  
                               triton_tem_fused_zeros_1         0.00%       0.000us         0.00%       0.000us       0.000us        3.631s         6.40%        3.631s      60.518ms            60  
